时间,流量
2018/7/7 0:05,49
2018/7/7 0:20,47
2018/7/7 0:35,45
2018/7/7 0:50,36
2018/7/7 1:05,29
2018/7/7 1:20,32
2018/7/7 1:35,32
2018/7/7 1:50,30
2018/7/7 2:05,37
2018/7/7 2:20,53
2018/7/7 2:35,70
2018/7/7 2:50,83
2018/7/7 3:05,94
2018/7/7 3:20,97
2018/7/7 3:35,103
2018/7/7 3:50,121
2018/7/7 4:05,168
2018/7/7 4:20,216
2018/7/7 4:35,259
2018/7/7 4:50,203
2018/7/7 5:05,246
2018/7/7 5:20,283
2018/7/7 5:35,290
2018/7/7 5:50,285
2018/7/7 6:05,283
2018/7/7 6:20,275
2018/7/7 6:35,276
2018/7/7 6:50,289
2018/7/7 7:05,310
2018/7/7 7:20,344
2018/7/7 7:35,338
2018/7/7 7:50,376
2018/7/7 8:05,396
2018/7/7 8:20,418
2018/7/7 8:35,442
2018/7/7 8:50,477
2018/7/7 9:05,486
2018/7/7 9:20,512
2018/7/7 9:35,510
2018/7/7 9:50,468
2018/7/7 10:05,508
2018/7/7 10:20,496
2018/7/7 10:35,505
2018/7/7 10:50,476
2018/7/7 11:05,442
2018/7/7 11:20,459
2018/7/7 11:35,466
2018/7/7 11:50,454
2018/7/7 12:05,472
2018/7/7 12:20,428
2018/7/7 12:35,399
2018/7/7 12:50,451
2018/7/7 13:05,488
2018/7/7 13:20,495
2018/7/7 13:35,462
2018/7/7 13:50,481
2018/7/7 14:05,506
2018/7/7 14:20,458
2018/7/7 14:35,465
2018/7/7 14:50,484
2018/7/7 15:05,473
2018/7/7 15:20,465
2018/7/7 15:35,426
2018/7/7 15:50,448
2018/7/7 16:05,391
2018/7/7 16:20,405
2018/7/7 16:35,420
2018/7/7 16:50,382
2018/7/7 17:05,378
2018/7/7 17:20,339
2018/7/7 17:35,325
2018/7/7 17:50,310
2018/7/7 18:05,311
2018/7/7 18:20,296
2018/7/7 18:35,260
2018/7/7 18:50,268
2018/7/7 19:05,266
2018/7/7 19:20,263
2018/7/7 19:35,268
2018/7/7 19:50,300
2018/7/7 20:05,296
2018/7/7 20:20,261
2018/7/7 20:35,268
2018/7/7 20:50,245
2018/7/7 21:05,213
2018/7/7 21:20,188
2018/7/7 21:35,167
2018/7/7 21:50,154
2018/7/7 22:05,136
2018/7/7 22:20,122
2018/7/7 22:35,125
2018/7/7 22:50,111
2018/7/7 23:05,96
2018/7/7 23:20,89
2018/7/7 23:35,77
2018/7/7 23:50,72
2018/7/8 0:05,70
2018/7/8 0:20,64
2018/7/8 0:35,62
2018/7/8 0:50,58
2018/7/8 1:05,48
2018/7/8 1:20,44
2018/7/8 1:35,39
2018/7/8 1:50,37
2018/7/8 2:05,43
2018/7/8 2:20,56
2018/7/8 2:35,68
2018/7/8 2:50,78
2018/7/8 3:05,88
2018/7/8 3:20,94
2018/7/8 3:35,100
2018/7/8 3:50,110
2018/7/8 4:05,161
2018/7/8 4:20,203
2018/7/8 4:35,234
2018/7/8 4:50,265
2018/7/8 5:05,311
2018/7/8 5:20,345
2018/7/8 5:35,351
2018/7/8 5:50,351
2018/7/8 6:05,338
2018/7/8 6:20,326
2018/7/8 6:35,325
2018/7/8 6:50,346
2018/7/8 7:05,367
2018/7/8 7:20,390
2018/7/8 7:35,408
2018/7/8 7:50,389
2018/7/8 8:05,455
2018/7/8 8:20,490
2018/7/8 8:35,409
2018/7/8 8:50,448
2018/7/8 9:05,466
2018/7/8 9:20,494
2018/7/8 9:35,496
2018/7/8 9:50,498
2018/7/8 10:05,504
2018/7/8 10:20,504
2018/7/8 10:35,508
2018/7/8 10:50,524
2018/7/8 11:05,509
2018/7/8 11:20,514
2018/7/8 11:35,510
2018/7/8 11:50,499
2018/7/8 12:05,506
2018/7/8 12:20,482
2018/7/8 12:35,495
2018/7/8 12:50,524
2018/7/8 13:05,623
2018/7/8 13:20,602
2018/7/8 13:35,610
2018/7/8 13:50,615
2018/7/8 14:05,595
2018/7/8 14:20,567
2018/7/8 14:35,576
2018/7/8 14:50,598
2018/7/8 15:05,580
2018/7/8 15:20,519
2018/7/8 15:35,425
